tone,word
affection,love
affection,tqm
affection,kiss
affection,hug
affection,sweetheart
affection,darling
affection,guapo
affection,guapa
affection,cute
affection,beautiful
affection,preciosa
affection,t estimo
affection,abraçada
affection,petó
affection,mac@
affection,tq
affection,dear
affection,precioso
affection,pretty
affection,adorable
affection,sweet
affection,cielo
affection,corazon
affection,mi vida
affection,mi alma
affection,treasure
affection,bonic
affection,bonica
affection,carinyo
affection,carinyet
affection,petonet
affection,petonets
affection,abraçades
affection,muac
affection,muack
affection,muacks
affection,besitos
affection,besote
affection,besotes
affection,amorcito
affection,amore
affection,amig@
affection,amiga
affection,amigo
affection,compañer@
affection,compañera
affection,compañero
affection,preci
affection,guapeton
affection,guapetona
affection,bonissim
affection,bonissima
affection,idol
affection,idolito
affection,adoration
affection,cari
affection,carinito
affection,carinosa
affection,carinoso
affection,honey
affection,babe
affection,cutie
affection,handsome
affection,my love
affection,bae
affection,sweety
affection,my dear
affection,t estimo
affection,et vull
affection,abraçada
affection,petó
affection,bonic
affection,bonica
affection,preciosa
affection,mac@
affection,rei
affection,reina
affection,carinyo
affection,carinyet
affection,abraçades
affection,muac
affection,petonet
affection,petonets
affection,m estim
affection,t estimem
affection,amics
affection,amics per sempre
affection,guapet
affection,guapeta
affection,somriure
affection,bon cor
affection,ànima bonica
affection,preci
affection,monada
aggressive,hate
aggressive,idiot
aggressive,shut up
aggressive,stupid
aggressive,shit
aggressive,fuck
aggressive,moron
aggressive,dumb
aggressive,asshole
aggressive,tonto
aggressive,imbecil
aggressive,pesado
aggressive,mierda
aggressive,capullo
aggressive,capulla
aggressive,asqueroso
aggressive,asquerosa
aggressive,puta
aggressive,puto
aggressive,maldito
aggressive,subnormal
aggressive,gilipollas
aggressive,cretino
aggressive,burro
aggressive,imbecil
aggressive,bitch
aggressive,jerk
aggressive,plasta
aggressive,crap
aggressive,retard
aggressive,twat
aggressive,dickhead
aggressive,imbecil
aggressive,gordo
aggressive,feo
aggressive,imbecil
aggressive,pesada
aggressive,cansina
aggressive,sucks
aggressive,fucker
aggressive,trash
aggressive,imbècil
aggressive,collons
aggressive,merda
aggressive,pesat
aggressive,malparit
aggressive,pallasso
aggressive,imbecil
aggressive,idiota
aggressive,capullo
aggressive,payaso
aggressive,burro
aggressive,cabron
aggressive,gilipolles
aggressive,tonto
aggressive,tonta
aggressive,estúpid
aggressive,gilipuertas
aggressive,gilipiches
aggressive,cretí
aggressive,asquerós
aggressive,porqueria
aggressive,patètic
aggressive,desgraciat
aggressive,inútil
aggressive,subnormal
aggressive,feixuc
humor,jaja
humor,jajaja
humor,lol
humor,xd
humor,xddd
humor,lmao
humor,rofl
humor,joke
humor,funny
humor,meme
humor,pun
humor,wit
humor,laugh
humor,broma
humor,carcajada
humor,gracioso
humor,graciosa
humor,jijiji
humor,haha
humor,humor
humor,divertido
humor,divertida
humor,chiste
humor,gag
humor,banter
humor,prank
humor,goofy
humor,laughter
humor,jajaja
humor,xddd
humor,jeje
humor,juas
humor,jijiji
humor,lolazo
humor,divertit
humor,graciós
humor,acudit
humor,broma
humor,humor
humor,meme
humor,rient
humor,carcajada
humor,carcassa
humor,gag
humor,conya
humor,conyada
humor,risses
humor,riure
sad,sad
sad,cry
sad,crying
sad,lloro
sad,llorando
sad,pena
sad,depressed
sad,depre
sad,desanimado
sad,decepcionado
sad,decepcionada
sad,lágrima
sad,trist
sad,triste
sad,alone
sad,lonely
sad,blue
sad,unhappy
sad,melancholy
sad,down
sad,te echo de menos
sad,miss you
sad,ploro
sad,plorera
sad,😭
sad,😢
sad,trist
sad,ploro
sad,plorant
sad,plorera
sad,desanimat
sad,deprimit
sad,pena
sad,decepció
sad,desesperat
sad,plor
sad,desencant
sad,solitud
sad,soledat
sad,abatut
sad,afligit
sad,tristor
sad,angoixa
sad,llàgrima
sad,llàgrimes
sad,depressió
sad,baixó
sad,melancolia
sad,mal dia
surprise,surprise
surprise,wow
surprise,omg
surprise,wtf
surprise,amazing
surprise,shocking
surprise,unbelievable
surprise,incredible
surprise,flipante
surprise,inesperado
surprise,madre mia
surprise,que fuerte
surprise,no me lo creo
surprise,astonishing
surprise,unexpected
surprise,mind blown
surprise,oh my god
surprise,ostras
surprise,ostia
surprise,😱
surprise,ostres
surprise,ostia
surprise,que fort
surprise,no m ho crec
surprise,increïble
surprise,impressionant
surprise,sorprès
surprise,sorprenent
surprise,inesperat
surprise,al·lucinant
surprise,boig
surprise,flipo
surprise,de bojos
surprise,uau
surprise,què?
surprise,de veritat?
surprise,no fotis
surprise,hòstia
surprise,quin show
surprise,quin drama
surprise,impressiona
neutral,ok
neutral,okay
neutral,fine
neutral,meh
neutral,normal
neutral,vale
neutral,bueno
neutral,alright
neutral,yes
neutral,no
neutral,si
neutral,puede ser
neutral,de acuerdo
neutral,así
neutral,so
neutral,well
neutral,entonces
neutral,okey
neutral,👌
neutral,👍
neutral,ok
neutral,vale
neutral,bé
neutral,normal
neutral,sí
neutral,no
neutral,potser
neutral,bueno
neutral,d acord
neutral,vaja
neutral,psé
neutral,així
neutral,meh
neutral,com vulguis
neutral,doncs
neutral,almenys
neutral,al seu aire
neutral,diguem
neutral,bo
neutral,bé
neutral,ja veurem
neutral,clar
neutral,suposo
nervous,anxious
nervous,stress
nervous,stressed
nervous,panic
nervous,nervous
nervous,uff
nervous,ay
nervous,ay dios
nervous,ayyy
nervous,madre mia
nervous,anxiety
nervous,😬
nervous,😅
nervous,sweating
nervous,panic attack
nervous,worried
nervous,nervioso
nervous,uf
nervous,ai
nervous,ai mare
nervous,madre mia
nervous,mare meva
nervous,angoixat
nervous,nerviós
nervous,nerviosa
nervous,estresat
nervous,estresada
nervous,nervis
nervous,què faig
nervous,em poso nerviós
nervous,no puc
nervous,quins nervis
nervous,això m agobia
nervous,pànic
nervous,por
nervous,tensió
nervous,incòmode
grateful,thanks
grateful,thank you
grateful,gracias
grateful,gràcies
grateful,merci
grateful,mil gracias
grateful,muchas gracias
grateful,🙏
grateful,appreciate it
grateful,appreciated
grateful,grateful
grateful,te lo agradezco
grateful,thankful
grateful,graciass
grateful,graciasss
grateful,🤗
grateful,gràcies
grateful,moltes gràcies
grateful,merci
grateful,t ho agraeixo
grateful,agraït
grateful,agraïda
grateful,mil gràcies
grateful,ets un sol
grateful,ets genial
grateful,ets un amor
grateful,quins detalls
grateful,infinites gràcies
grateful,gràcies de veritat
grateful,de tot cor
grateful,sou increïbles
grateful,moltíssimes gràcies
grateful,t estic molt agraït
grateful,m ajudes molt
grateful,que bonic
frustration,uff
frustration,pfff
frustration,argh
frustration,rage
frustration,angry
frustration,frustrated
frustration,frustrante
frustration,rabia
frustration,annoyed
frustration,irritated
frustration,fed up
frustration,exhausted
frustration,cansado
frustration,me molesta
frustration,molesto
frustration,tired
frustration,frustracion
frustration,😠
frustration,😤
frustration,argh
frustration,uff
frustration,quin pal
frustration,estic fart
frustration,estic cansat
frustration,quina ràbia
frustration,estic fins els nassos
frustration,estic fins al capdamunt
frustration,m emprenya
frustration,m irrita
frustration,quina frustració
frustration,estic tip
frustration,quina mandra
frustration,quin desastre
frustration,no puc més
frustration,quina merda
frustration,estic molt fart
frustration,quins collons
frustration,estic ofuscat
